"price","year","manufacturer","condition","fuel","odometer","title_status","transmission","drive","state","lat","long"
"Diff",2015,"C","excellent","other",109878,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",2000,"C","excellent","diesel",335000,"ok","automatic","4wd","az",34.52947,-112.241993
"Easy",2012,"D","excellent","gas",87468,"ok","automatic","rwd","az",34.5917,-112.4265
"Diff",2012,"C","good","gas",15276,"ok","automatic","rwd","az",34.62,-112.42
"Easy",2003,"C","fair","gas",169333,"ok","automatic","4wd","az",34.385506,-112.120457
"Diff",2020,"C","like new","gas",17200,"ok","automatic","4wd","az",34.5917,-112.4265
"Easy",2015,"C","good","gas",69946,"ok","automatic","rwd","az",34.6019,-112.3264
"Diff",2012,"C","good","gas",51707,"ok","other","4wd","az",34.62,-112.42
"Easy",2015,"C","excellent","gas",110984,"ok","automatic","fwd","az",34.253045,-110.028522
"Easy",2011,"B","good","gas",51714,"ok","automatic","rwd","az",31.59,-110.17
"Diff",2018,"C","good","gas",22301,"ok","other","4wd","az",31.59,-110.17
"Easy",1968,"C","good","gas",1000,"ok","automatic","rwd","az",31.5365,-110.2666
"Diff",2017,"C","like new","gas",75330,"ok","automatic","fwd","az",31.521203,-109.35164
"Easy",2009,"C","good","gas",96076,"ok","automatic","rwd","az",32.235669,-110.864815
"Easy",2002,"C","excellent","gas",170420,"ok","automatic","fwd","az",31.5365,-110.2666
"Easy",2005,"C","good","gas",172960,"ok","automatic","rwd","az",32.235669,-110.864815
"Easy",2013,"C","good","gas",113539,"ok","automatic","4wd","az",32.235669,-110.864815
"Diff",2015,"C","good","gas",11732,"ok","automatic","rwd","az",31.59,-110.17
"Easy",2005,"C","like new","gas",159000,"ok","automatic","fwd","az",31.5365,-110.2666
"Easy",2016,"C","excellent","gas",66470,"ok","automatic","fwd","az",32.260949,-110.96056
"Easy",2016,"C","excellent","other",59827,"ok","automatic","fwd","az",32.24951,-110.972417
"Easy",2004,"C","good","gas",174000,"ok","automatic","rwd","az",32.616522,-110.985769
"Diff",2015,"C","excellent","gas",69717,"ok","automatic","4wd","az",32.23539,-110.916482
"Easy",2011,"C","good","gas",23243,"ok","other","fwd","az",32.21,-110.96
"Diff",2016,"C","good","diesel",64028,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",2012,"C","excellent","gas",125700,"ok","automatic","rwd","az",32.389741,-111.377008
"Diff",2017,"B","excellent","diesel",124341,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",1973,"B","excellent","gas",57000,"ok","manual","fwd","az",31.5084,-111.0757
"Easy",2010,"C","excellent","gas",87000,"ok","automatic","4wd","az",32.25,-110.8869
"Diff",2019,"B","good","gas",41907,"ok","automatic","4wd","az",32.236075,-110.878886
"Diff",2016,"C","good","gas",48501,"ok","automatic","rwd","az",33.338295,-111.934644
"Easy",2007,"C","good","gas",99419,"ok","automatic","fwd","az",33.639923,-112.1144
"Easy",2006,"C","excellent","diesel",249305,"ok","automatic","rwd","az",33.683872,-112.104578
"Easy",2009,"C","excellent","gas",113440,"ok","automatic","fwd","az",33.428566,-111.976376
"Diff",2008,"C","like new","gas",12000,"ok","manual","rwd","az",32.430513,-111.068344
"Easy",2008,"C","excellent","gas",98425,"ok","automatic","rwd","az",33.569878,-112.062449
"Easy",2015,"D","like new","gas",79,"ok","automatic","rwd","az",31.972767,-110.968544
"Easy",1988,"D","good","gas",120000,"ok","manual","rwd","az",32.2691,-110.9845
"Easy",2017,"C","like new","gas",49839,"ok","automatic","fwd","az",32.267941,-110.977848
"Easy",2018,"C","excellent","gas",55000,"ok","automatic","fwd","az",32.25,-110.8869
"Diff",2015,"C","excellent","other",51086,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",2016,"C","excellent","gas",99000,"ok","automatic","fwd","az",32.206041,-110.835171
"Easy",2012,"C","good","gas",129892,"ok","automatic","fwd","az",32.236075,-110.878886
"Easy",2016,"C","excellent","gas",39,"ok","automatic","fwd","az",31.8543,-111.0003
"Diff",2018,"B","excellent","gas",690,"ok","other","4wd","az",33.569878,-112.062449
"Easy",2008,"C","fair","other",85343,"ok","automatic","fwd","az",33.4665,-111.9984
"Easy",2013,"B","excellent","diesel",233420,"ok","automatic","4wd","az",33.683854,-112.104621
"Easy",2008,"C","excellent","gas",131954,"ok","automatic","fwd","az",32.252346,-110.978729
"Easy",2014,"C","excellent","gas",97668,"ok","automatic","fwd","az",32.252346,-110.978729
"Easy",2006,"C","good","gas",271102,"ok","automatic","4wd","az",33.683889,-112.104535
"Diff",2015,"C","good","gas",43437,"ok","automatic","4wd","az",32.271329,-110.993712
"Diff",2016,"C","excellent","gas",14500,"ok","automatic","fwd","az",32.596599,-110.636166
"Diff",2016,"C","excellent","diesel",70630,"ok","automatic","4wd","az",33.396353,-111.954863
"Diff",2015,"C","excellent","other",77620,"ok","automatic","4wd","az",32.24951,-110.972417
"Easy",1996,"C","good","gas",228640,"ok","automatic","fwd","az",32.312403,-110.968609
"Easy",2015,"C","good","gas",56490,"ok","automatic","4wd","az",32.21,-110.96
"Easy",2009,"C","good","gas",69182,"ok","automatic","fwd","az",32.236075,-110.878886
"Easy",2012,"C","like new","gas",95135,"ok","automatic","fwd","az",32.236075,-110.878886
"Easy",2012,"D","good","gas",61262,"ok","automatic","rwd","az",32.21,-110.96
"Easy",2013,"C","good","gas",43207,"ok","other","rwd","az",32.21,-110.96
"Easy",2007,"C","like new","gas",93699,"ok","automatic","rwd","az",32.2691,-110.9845
"Diff",2016,"C","good","other",36498,"ok","automatic","4wd","az",33.396353,-111.954863
"Diff",2018,"C","good","gas",63833,"ok","automatic","rwd","az",33.396353,-111.954863
"Diff",2018,"C","good","gas",46614,"ok","automatic","4wd","az",33.396353,-111.954863
"Diff",2020,"B","excellent","diesel",12342,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",2006,"C","like new","gas",168500,"ok","automatic","4wd","az",31.4646,-110.9941
"Easy",2011,"C","good","gas",134109,"ok","automatic","rwd","az",32.200727,-110.874757
